title de-DE;title en-EN;title es-ES;title fr-FR;title it-IT;title pl-PL;title pt-BR;title ru-RU;title zh-Hans;title zh-Hant;text de-DE;text en-EN;text es-ES;text fr-FR;text it-IT;text pl-PL;text pt-BR;text ru-RU;text zh-Hans;text zh-Hant;id;set;type;attack;rarity;defense;faction;kredits;blitz;mobilize;smokescreen;fury;pincer;alpine;guard;ambush;intel3;heavyArmor1;intel2;heavyArmor2;image de-DE;image en-EN;image es-ES;image fr-FR;image it-IT;image pl-PL;image pt-BR;image ru-RU;image zh-Hans;image zh-Hant
554. SCHÜTZENREGIMENT;554th RIFLE REGIMENT;554.º REGIMIENTO DE FUSILES;554e RÉGIMENT DE FUSILIERS;554° REG. FUCILIERI;554 PUŁK STRZELCÓW;554º REGIMENTO DE FUZILEIROS;554-й СТРЕЛКОВЫЙ ПОЛК;步兵第 554 团;步兵第 554 團;;;;;;;;;;;554th_rifle_regiment;Base;infantry;1;Standard;1;Soviet;0;1;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/en-EN/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/es-ES/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/fr-FR/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/it-IT/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/pl-PL/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/pt-BR/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/ru-RU/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/zh-Hans/554th_rifle_regiment.png;https://www.kards.com//images/card/v15/zh-Hant/554th_rifle_regiment.png
5. Fallschirmbrigade;5th PARACHUTE BRIGADE;5.º BRIGADA DE PARACAIDISTAS;5e BRIGADE PARACHUTISTE;5ª PARACADUTISTI;5 BRYGADA SPADOCHRONOWA;5ª BRIGADA DE PARAQUEDISTAS;5-я ПАРАШЮТНАЯ БРИГАДА;第 5 伞兵旅;第 5 傘兵旅;;;;;;;;;;;5th_parachute_brigade;Legions;infantry;1;Standard;1;Britain;0;;1;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/en-EN/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/es-ES/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/fr-FR/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/it-IT/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/pl-PL/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/pt-BR/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/ru-RU/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/zh-Hans/5th_parachute_brigade.png;https://www.kards.com//images/card/v15/zh-Hant/5th_parachute_brigade.png
GEGEN ALLE WIDRIGKEITEN;AGAINST THE ODDS;CONTRA LAS ADVERSIDADES;CONTRE VENTS ET MARÉES;CONTRO OGNI PROBABILITÀ;WBREW PRZECIWNOŚCIOM;CONTRA AS PROBABILIDADES;НЕСМОТРЯ НИ НА ЧТО;迎难而上;迎難而上;Wenn eine Einheit angreift, setze sie danach fest. Ziehe eine Karte.;When a unit attacks, pin it afterwards. Draw a card.;Después de atacar, la unidad queda inmovilizada. Roba una carta.;Lorsqu'une unité attaque, Immobilisez-la ensuite. Piochez une carte.;Dopo che un'unità ha attaccato Bloccala. Pesca una carta.;Gdy jednostka zaatakuje, Przyszpil ją po tym. Dobierz kartę.;Quando uma unidade ataca, imobilize-a após o combate. Compre uma carta.;Когда отряд атакует, блокирует его после атаки. Возьмите карту.;一个单位攻击时，攻击后将其压制。抽一张牌。;一個單位攻擊時，攻擊後將其壓制。抽一張牌。;against_the_odds;Legions;countermeasure;;Limited;;Britain;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/against_the_odds.png;https://www.kards.com//images/card/v15/en-EN/against_the_odds.png;https://www.kards.com//images/card/v15/es-ES/against_the_odds.png;https://www.kards.com//images/card/v15/fr-FR/against_the_odds.png;https://www.kards.com//images/card/v15/it-IT/against_the_odds.png;https://www.kards.com//images/card/v15/pl-PL/against_the_odds.png;https://www.kards.com//images/card/v15/pt-BR/against_the_odds.png;https://www.kards.com//images/card/v15/ru-RU/against_the_odds.png;https://www.kards.com//images/card/v15/zh-Hans/against_the_odds.png;https://www.kards.com//images/card/v15/zh-Hant/against_the_odds.png
AUSWEICHMANÖVER;EVASIVE ACTION;ACCIÓN EVASIVA;ACTION ÉVASIVE;AZIONE EVASIVA;MANEWR WYMIJAJĄCY;AÇÃO EVASIVA;МАНЁВР УКЛОНЕНИЯ;规避动作;規避動作;Wenn der Feind eine Einheit mit Einsatz-Effekt ausspielt, wird der Effekt aufgehoben.;When the enemy deploys a unit with deployment effect, cancel the effect.;Cuando el enemigo despliegue una unidad con efecto de despliegue, cancélalo.;Lorsque l'ennemi déploie une unité avec effet de déploiement, cet effet est annulé.;Quando il nemico schiera un'unità con un effetto di schieramento, annullane l'effetto.;Gdy przeciwnik rozmieszcza jednostkę z efektem rozmieszczenia, anuluj ten efekt.;Quando o inimigo posicionar uma unidade com efeito de posicionamento, cancele o efeito.;Когда враг размещает отряд со способностью Размещение, эффект отменяется.;对手部署单位时，使其部署效果失效。;對手部署單位時，使其部署效果失效。;evasive_action;Breakthrough;countermeasure;;Standard;;Britain;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/evasive_action.png;https://www.kards.com//images/card/v15/en-EN/evasive_action.png;https://www.kards.com//images/card/v15/es-ES/evasive_action.png;https://www.kards.com//images/card/v15/fr-FR/evasive_action.png;https://www.kards.com//images/card/v15/it-IT/evasive_action.png;https://www.kards.com//images/card/v15/pl-PL/evasive_action.png;https://www.kards.com//images/card/v15/pt-BR/evasive_action.png;https://www.kards.com//images/card/v15/ru-RU/evasive_action.png;https://www.kards.com//images/card/v15/zh-Hans/evasive_action.png;https://www.kards.com//images/card/v15/zh-Hant/evasive_action.png
FIAT CR.42;FIAT C.R.42;FIAT C.R.42;FIAT CR.42;FIAT C.R.42;FIAT C.R.42;FIAT C.R.42;FIAT C.R.42;菲亚特 C.R.42;飛雅特 C.R.42;Kann nur eingesetzt werden, wenn du mehr Einheiten kontrollierst als der Gegner.;Can only be deployed if you control more units than the enemy.;Solo se puede desplegar si controlas más unidades que el enemigo.;Peut uniquement être déployé si vous contrôlez plus d’unités que l’ennemi.;Può essere schierato solo se controlli più unità del nemico.;Można rozmieścić, jeśli masz więcej jednostek niż przeciwnik.;Só pode ser posicionado se você controla mais unidades que o inimigo.;Эту карту можно разместить, только если у вас больше отрядов, чем у врага.;你控制的单位比对手多时才能部署。;你控制的單位比對手多時才能部署。;fiat_c_r_42;Allegiance;fighter;1;Standard;2;Italy;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/fiat_c_r_42.png;https://www.kards.com//images/card/v15/en-EN/fiat_c_r_42.png;https://www.kards.com//images/card/v15/es-ES/fiat_c_r_42.png;https://www.kards.com//images/card/v15/fr-FR/fiat_c_r_42.png;https://www.kards.com//images/card/v15/it-IT/fiat_c_r_42.png;https://www.kards.com//images/card/v15/pl-PL/fiat_c_r_42.png;https://www.kards.com//images/card/v15/pt-BR/fiat_c_r_42.png;https://www.kards.com//images/card/v15/ru-RU/fiat_c_r_42.png;https://www.kards.com//images/card/v15/zh-Hans/fiat_c_r_42.png;https://www.kards.com//images/card/v15/zh-Hant/fiat_c_r_42.png
KAISERLICHES DEKRET;IMPERIAL DECREE;DECRETO IMPERIAL;DÉCRET IMPÉRIAL;DECRETO IMPERIALE;CESARSKI DEKRET;DECRETO IMPERIAL;ИМПЕРАТОРСКОЕ ПОСТАНОВЛЕНИЕ;天皇诏令;天皇詔令;Dein nächster Schadensbefehl verursacht +1 Schaden.;The next damage order you give this turn deals +1 damage.;La próxima orden de daño que des este turno infligirá +1 de daño.;Le prochain ordre de dégâts que vous donnez pendant ce tour inflige +1 dégât.;Il prossimo ordine che infligge danni che giochi in questo turno infligge 1 danno in più.;Wydany w tej turze kolejny twój rozkaz zadający obrażenia zadaje ich +1 pkt.;A próxima ordem de dano que você der neste esse turno causará +1 de dano.;Следующий наносящий урон приказ, отданный вами в этот ход, наносит +1 ед. урона.;在本回合中，你的下个指令造成的伤害 +1。;在本回合中，你的下個指令造成的傷害 +1。;imperial_decree;Allegiance;order;;Standard;;Japan;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/imperial_decree.png;https://www.kards.com//images/card/v15/en-EN/imperial_decree.png;https://www.kards.com//images/card/v15/es-ES/imperial_decree.png;https://www.kards.com//images/card/v15/fr-FR/imperial_decree.png;https://www.kards.com//images/card/v15/it-IT/imperial_decree.png;https://www.kards.com//images/card/v15/pl-PL/imperial_decree.png;https://www.kards.com//images/card/v15/pt-BR/imperial_decree.png;https://www.kards.com//images/card/v15/ru-RU/imperial_decree.png;https://www.kards.com//images/card/v15/zh-Hans/imperial_decree.png;https://www.kards.com//images/card/v15/zh-Hant/imperial_decree.png
VERSENKTER GELEITZUG;LOST CONVOY;CONVOY PERDIDO;CONVOI PERDU;CONVOGLIO DISPERSO;UTRACONY KONWÓJ;COMBOIO PERDIDO;ПРОПАВШИЙ КОНВОЙ;护航覆灭;護航覆滅;Wenn der Feind eine Einheit einsetzt, gib ihr -2 Angriff.;When the enemy deploys a unit, give it -2 attack.;Cuando el enemigo despliegue una unidad, obtiene -2 de ataque.;Lorsque l'ennemi déploie une unité, elle reçoit -2 d'attaque.;Quando il nemico schiera un'unità, dagli -2 attacco.;Gdy przeciwnik rozmieszcza jednostkę, zapewnij jej -2 do ataku.;Quando o inimigo implanta uma unidade, dê a ela -2 de ataque.;Когда противник размещает отряд, он получает -2 к атаке.;对手部署单位时，使其获得 -2 攻击力。;對手部署單位時，使其獲得 -2 攻擊力。;lost_convoy;Legions;countermeasure;;Standard;;Germany;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/lost_convoy.png;https://www.kards.com//images/card/v15/en-EN/lost_convoy.png;https://www.kards.com//images/card/v15/es-ES/lost_convoy.png;https://www.kards.com//images/card/v15/fr-FR/lost_convoy.png;https://www.kards.com//images/card/v15/it-IT/lost_convoy.png;https://www.kards.com//images/card/v15/pl-PL/lost_convoy.png;https://www.kards.com//images/card/v15/pt-BR/lost_convoy.png;https://www.kards.com//images/card/v15/ru-RU/lost_convoy.png;https://www.kards.com//images/card/v15/zh-Hans/lost_convoy.png;https://www.kards.com//images/card/v15/zh-Hant/lost_convoy.png
KEIN RÜCKZUG;NO RETREAT;SIN RETIRADA;PAS DE RETRAITE;NESSUNA RITIRATA;BEZ ODWROTU;NÃO RECUE;НИ ШАГУ НАЗАД;背水一战;背水一戰;Zerstöre eine verbündete Einheit. Dein HQ erhält Verteidigung in Höhe der Verteidigung der zerstörten Einheit.;Destroy a friendly unit. Your HQ gains defense equal to the unit's defense.;Destruye a una unidad aliada. Tu cuartel general obtiene una defensa equivalente a la defensa de la unidad.;Détruit une unité amicale. Votre QG gagne une défense égale à la défense de l’unité.;Distruggi un'unità alleata. Il tuo QG ottiene tanta difesa quanto quella dell'unità distrutta.;Zniszcz sojuszniczą jednostkę. Twój sztab zyskuje obronę równą obronie tej jednostki.;Destrua uma unidade aliada. Seu QG ganha defesa igual à defesa da unidade.;Дружественный отряд уничтожается. Количество ед. защиты уничтоженного отряда передаётся штабу.;消灭一个友方单位，你的总部获得此单位的防御力。;消滅一個友方單位，你的總部獲得此單位的防禦力。;no_retreat;Allegiance;order;;Standard;;Soviet;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/no_retreat.png;https://www.kards.com//images/card/v15/en-EN/no_retreat.png;https://www.kards.com//images/card/v15/es-ES/no_retreat.png;https://www.kards.com//images/card/v15/fr-FR/no_retreat.png;https://www.kards.com//images/card/v15/it-IT/no_retreat.png;https://www.kards.com//images/card/v15/pl-PL/no_retreat.png;https://www.kards.com//images/card/v15/pt-BR/no_retreat.png;https://www.kards.com//images/card/v15/ru-RU/no_retreat.png;https://www.kards.com//images/card/v15/zh-Hans/no_retreat.png;https://www.kards.com//images/card/v15/zh-Hant/no_retreat.png
ÜBERWÄLTIGENDE STÄRKE;OVERWHELMING FORCE;FUERZA DEVASTADORA;FORCE ÉCRASANTE;FORZA TRAVOLGENTE;PRZEWAŻAJĄCE SIŁY;FORÇA ESMAGADORA;СОКРУШИТЕЛЬНАЯ МОЩЬ;势不可挡;勢不可擋;Die gewählte feindliche Einheit verliert Wache, Vernebelung, Schnellfeuer, Hinterhalt und Zerstörung. Setze den Angriff zurück.;Target unit loses Guard, Smokescreen, Ambush and Destruction. Reset its attack.;La unidad enemiga seleccionada pierde Guardia, Cortina de humo, Furia, Emboscada y Destrucción. Reestablece su ataque.;L’unité ennemie ciblée perd Garde, Écran de fumée, Fureur, Embuscade et Destruction. Réinitialisez son attaque.;Un'unità nemica perde Cortina Fumogena, Guardia, Furia, Imboscata e Distruzione. Ripristina il suo attacco originale.;Wybrana jednostka wroga traci Straż, Zasłonę dymną, Zasadzkę oraz Zniszczenie. Zresetuj jej atak.;A unidade inimiga alvo perde guarda, cortina de fumaça, emboscada e destruição. Reinicie seu ataque.;Выбранный отряд теряет эффекты Охрана, Дымовая завеса, Ярость, Засада и Уничтожение. Сбросьте его атаку.;使一个单位失去守护、烟幕、伏击和亡计，且使其攻击力重置。;使一個單位失去守護、煙幕、伏擊和亡計，且使其攻擊力重置。;overwhelming_force;Base;order;;Standard;;USA;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/overwhelming_force.png;https://www.kards.com//images/card/v15/en-EN/overwhelming_force.png;https://www.kards.com//images/card/v15/es-ES/overwhelming_force.png;https://www.kards.com//images/card/v15/fr-FR/overwhelming_force.png;https://www.kards.com//images/card/v15/it-IT/overwhelming_force.png;https://www.kards.com//images/card/v15/pl-PL/overwhelming_force.png;https://www.kards.com//images/card/v15/pt-BR/overwhelming_force.png;https://www.kards.com//images/card/v15/ru-RU/overwhelming_force.png;https://www.kards.com//images/card/v15/zh-Hans/overwhelming_force.png;https://www.kards.com//images/card/v15/zh-Hant/overwhelming_force.png
REORGANISIEREN;REORGANIZE;REORGANIZAR;RÉORGANISER;RIORGANIZZAZIONE;PRZEGRUPOWANIE;REORGANIZAR;РЕОРГАНИЗАЦИЯ;调整;調整;Wähle eine Karte in der Hand und mische sie in dein Deck. Ziehe eine Karte.;Choose a card in hand and shuffle it into your deck. Draw a card.;Elige una carta de la mano y barájala en tu mazo. Roba una carta.;Choisissez une carte en main et mélangez-la dans votre deck. Piochez une carte.;Scegli una carta dalla tua mano e rimescolala nel tuo mazzo. Pesca una carta.;Wybierz kartę z ręki i dodaj ją do swojej talii. Dobierz kartę.;Escolha uma carta da mão e embaralhe-a em seu baralho. Compre uma carta.;Выберите карту в руке и замешайте ее в свою колоду. Возьмите карту.;选择一张手牌并将其洗入你的卡组，抽一张牌。;選擇一張手牌並將其洗入你的卡組，抽一張牌。;reorganize;Breakthrough;order;;Standard;;Japan;0;;;;;;;;;;;;;https://www.kards.com//images/card/v15/de-DE/reorganize.png;https://www.kards.com//images/card/v15/en-EN/reorganize.png;https://www.kards.com//images/card/v15/es-ES/reorganize.png;https://www.kards.com//images/card/v15/fr-FR/reorganize.png;https://www.kards.com//images/card/v15/it-IT/reorganize.png;https://www.kards.com//images/card/v15/pl-PL/reorganize.png;https://www.kards.com//images/card/v15/pt-BR/reorganize.png;https://www.kards.com//images/card/v15/ru-RU/reorganize.png;https://www.kards.com//images/card/v15/zh-Hans/reorganize.png;https://www.kards.com//images/card/v15/zh-Hant/reorganize.png
